N,P,K,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Altitude,Fertilizer_Used,Recommended_Crop
152,89,17,6,58.43,1.49,0.38,21.4,63.92,463.59,8.36,18.23,339,197.17,Sugarcane
84,86,63,6.04,55.7,0.52,1.88,27.95,82.53,2463.93,7.22,14.5,764,66.45,Rice
22,60,45,5.28,37.57,0.92,2.47,29.03,43.88,2206.8,11.87,7.45,1391,61.56,Rice
139,14,93,6.55,32.25,1.3,0.6,15.09,72.09,506.34,4.22,15.02,569,101.2,Wheat
87,64,61,6.26,10.15,0.22,0.47,23.37,80.94,2246.65,4.99,11.53,2285,148.09,Rice
56,29,15,5.58,45.55,0.46,0.85,27,76.6,1873.39,8.79,11.53,906,68.26,Rice
92,33,106,5.14,38.25,0.88,0.91,38.8,63.96,680.17,10.05,16.57,2480,147.74,Millet
68,45,37,5.74,56.88,0.92,2.9,26.48,70.52,2511.7,11.66,5.5,1946,320.01,Rice
140,43,59,6.53,39.71,0.31,2.36,27.42,41.79,2156.92,7.92,12.03,208,205.73,Rice
107,63,47,4.73,59.64,0.73,0.27,32.96,42.99,1619.09,6.13,12.43,156,53.19,Rice
159,43,39,5.11,52.69,0.88,2.38,22.57,46.04,700.18,10.91,18.59,1269,244.16,Tomato
56,26,119,8.29,57.68,0.75,0.59,21.52,79.68,1712.46,7.52,1.46,2021,324.73,Rice
80,14,116,6.67,26.38,1.11,1.14,27.73,40.05,655.59,5.03,10.1,934,102.46,Millet
143,27,90,4.75,17.47,1.2,1.02,33.5,47.94,715.07,8.18,6,427,188.08,Millet
58,64,82,7.27,49.84,0.8,0.89,29.13,85.23,875.76,8.2,16.9,1512,153.6,Cotton
82,62,101,4.75,49.31,0.75,1,15.58,75.31,2032.63,5.83,6.74,1268,64.32,Sugarcane
65,59,63,7.46,20.57,1.12,2.29,21.93,73.99,2103.03,5.14,6.32,108,125.58,Rice
107,81,80,7.5,48.24,0.92,0.87,25.38,57.31,403.73,5.14,13.85,1439,152.3,Millet
30,88,55,7.1,39.1,1.33,2.42,25.71,72.14,2022.51,10.59,6.39,651,302.11,Rice
81,54,37,7.43,15.48,0.83,0.36,20.19,63.94,296.87,8.01,8.65,1473,110.92,Potato
96,22,26,4.85,35.09,0.95,1.83,25.67,34.29,2733.96,9.89,1.62,47,250.69,Rice
71,25,113,7.41,56.56,0.37,2.6,30.19,64.59,2380.26,11.7,7.77,127,200.69,Rice
23,22,57,5.05,35.32,1.29,0.33,24.04,57.13,2228.3,10.34,14.36,2162,52.72,Rice
78,29,53,5.86,49.43,0.75,1.94,23.54,36.84,869.79,5.26,11.49,1554,247.09,Sugarcane
91,75,117,8.27,11.45,1.13,1.58,34.05,50.66,2965.16,7.36,3.7,1205,300.1,Rice
112,56,69,6.51,46.4,0.76,1.06,32.71,83.69,2788.09,7.97,16.59,547,183.68,Rice
82,28,69,8.37,57.34,0.2,0.39,22.67,78.22,1571.79,9.61,7.36,581,106.68,Rice
73,54,14,4.86,34.98,0.72,2.06,39.88,84.83,297.13,11.72,17.68,1806,280.44,Millet
136,46,78,6.41,26.89,0.39,1,11.99,73.02,1631.89,6.28,17,1253,55.72,Wheat
129,63,87,4.75,42.33,0.72,1.08,19.78,67.95,631.14,10.89,3.78,2087,201.87,Sugarcane
93,15,79,7.02,55.81,0.62,2.18,11.1,38.35,1859.55,4.58,18.28,76,62.42,Wheat
126,23,16,4.81,18.84,0.46,2.84,35.18,36.43,2962.44,10.98,2.45,213,312.5,Rice
76,13,62,5.2,30.18,0.36,1.07,32.67,44.81,2319.39,9.56,8.87,2444,345.4,Rice
22,64,26,5.54,17.81,1.15,2.27,30.51,48.85,1102.32,4.23,4.2,357,347.4,Wheat
139,43,68,7.49,34.83,1.18,2.87,16.43,66.42,1303.65,8.89,3.25,845,96.42,Wheat
25,36,18,5.16,37.02,0.54,0.38,31.23,82.64,2844.81,11.45,3.16,1149,238.09,Rice
24,16,104,7.89,57.21,0.84,1.63,20.66,83.44,508.46,7.46,1.01,2345,226.71,Rice
24,12,31,5.03,30.63,0.8,0.13,36.06,70.94,2692.46,4.94,16.05,909,169.5,Rice
73,56,54,4.64,38.35,0.66,2.49,15.99,64.43,408.69,11.91,5.98,1488,291.71,Potato
66,11,82,6.08,54.26,0.56,0.93,16.54,44.66,1361.03,7.33,1.17,1837,288.39,Wheat
28,89,68,8.42,26.07,0.44,1.07,38.82,86.28,2287.26,8.22,5.22,979,305.85,Rice
118,34,89,4.94,43.71,1.33,2.09,25.51,70.27,1306.19,11.74,2.07,1026,287.31,Sugarcane
39,69,109,4.91,47.86,1.28,2.39,23.39,62.01,1799.14,8.68,1.86,617,217.3,Rice
141,88,107,7.5,26.53,0.74,1.26,20.55,36.24,1574.18,9.41,16.09,1562,210.59,Rice
80,33,118,5.75,18.22,1.14,2.03,34.94,79.55,1893,9.68,1.25,196,84.5,Rice
142,24,22,7.37,35.15,0.85,2.87,20.58,50.94,678.63,10.03,17.43,1146,308.84,Tomato
101,23,92,5.3,27.84,0.31,2.67,20.68,84.04,1818.66,10.4,4.84,1562,305.38,Rice
81,63,21,6.34,23.32,1.27,2.13,13.7,40.1,2964.34,4.6,19.1,2437,309.74,Wheat
22,87,45,5.56,58.67,0.49,2.83,25.62,32.92,742.89,11.47,15.39,167,58.45,Millet
32,15,19,6.31,35.11,1.12,2.64,37.71,56.08,387.46,8.36,5.66,1020,123.54,Millet
139,87,25,7.58,52.82,0.89,2.21,38.73,34.7,1297.01,8.27,6.56,841,177.85,Sugarcane
144,27,101,7.55,19.77,1.1,2.76,39.87,33.71,1248.21,10.68,6.18,1714,127.71,Sugarcane
108,29,28,6.56,56.97,0.81,2.47,24.19,72.82,552.06,6.45,5.18,1571,288.05,Cotton
92,71,113,8.21,49.72,1.11,1.56,33.25,45.44,1800.13,9.25,5.67,285,87.69,Rice
87,89,15,5.56,50.43,0.24,1.56,26.58,68.33,1425.26,6.54,12.41,1281,225.85,Tomato
120,49,13,5.46,29.49,0.25,0.13,26.44,64.25,2543.28,10.09,13.45,1987,257.19,Rice
117,48,39,6.96,34.28,1.37,0.19,34.19,38.45,1384.28,7.46,5.02,1595,271.09,Sugarcane
30,61,112,6.99,39.67,1.17,2.26,35.06,53.15,2959.86,5.49,17.11,946,232.34,Rice
124,41,104,4.69,49.49,1.28,1.71,10.59,33.96,2383.58,11.27,15.58,496,190.94,Sugarcane
86,82,55,6.93,52.45,0.79,2.31,38.28,55.3,1564.86,10.03,10.29,2324,110.11,Rice
142,36,36,6,13.9,0.8,2.85,34.69,40.94,1746.15,4.11,3.82,2344,128.25,Rice
48,61,54,7.49,55.2,0.89,1.41,31.63,35.78,2626.9,4.52,8.58,1339,72.63,Rice
156,72,94,7.73,56.87,0.52,0.36,35.56,49.02,2367.63,7.03,8.3,2143,181.99,Rice
95,83,46,6.71,39.64,1.15,1.92,26.12,30.21,2041.66,10.24,18.12,554,55.03,Rice
28,72,18,4.51,19.34,1.28,0.39,33.2,75.47,947.07,6.21,17.4,1968,125.85,Wheat
59,26,70,7.05,50.92,1.38,1.9,27.96,39.49,1348.97,11.93,1.69,258,269.82,Potato
44,58,44,7.5,37.43,0.87,1.63,26.29,67.55,2404.12,11.35,1.1,749,220.05,Rice
24,32,115,5.5,50.86,0.74,2.17,16.35,79.95,1956.9,10.92,15.69,1907,274.84,Barley
158,81,56,6.36,50.74,1.28,1.12,35.42,85.03,2878.2,4.07,3.13,678,134.51,Rice
143,22,30,8.36,14.34,1.18,0.52,36.52,63.45,2644.08,11.71,4.81,2037,252.97,Rice
57,32,26,5.69,40.35,1.33,0.79,39.14,77.3,1395.86,8.73,18.98,191,277.6,Barley
91,66,64,5.39,34.16,1.05,2.08,13.61,57.29,1022.69,8.73,7.86,1251,246.95,Potato
152,71,97,5.34,57.31,1.35,1.49,18.75,59.41,547.39,4.79,16.95,2091,186.26,Potato
109,63,104,6.74,24.83,0.32,1.67,30.56,62.81,1341.36,8.88,4.13,439,106.84,Sugarcane
56,29,15,8.3,20.3,1.08,1.04,35.66,70.21,834.71,8.23,13.92,817,294.82,Pulses
79,61,44,6.93,54.85,0.32,2.53,32.54,70.2,246.78,8.33,12.92,1434,276.82,Millet
47,32,59,5.71,17.44,1.17,3,23.67,77.12,587,5.53,14.97,107,275.87,Rice
100,44,46,7.05,44.33,1.02,1.01,31.78,67.02,1468.43,8.35,6.54,700,320.71,Pulses
133,76,22,7,25,0.22,2.18,12.16,82.96,2698.77,4.58,3.6,1296,314.12,Wheat
59,43,34,6.89,38.39,0.98,0.6,29.88,72.55,1098.69,4.17,2.45,1693,136.25,Potato
64,42,105,5.14,40.81,0.39,2.25,10.24,85.74,1435.14,5.71,13.94,23,62.9,Tomato
81,55,10,7.04,30.87,0.39,1.35,11.43,75.03,1275.4,10.41,13.59,2305,329.02,Wheat
112,54,58,6.22,58.75,0.4,1.86,32.72,74.32,1233.13,8.83,1.33,1711,157.51,Sugarcane
134,28,44,4.57,16.59,0.83,0.79,24.33,81.62,2223.39,11.15,12.39,134,342.25,Rice
86,24,92,6.66,29.57,0.35,2.57,11.79,69.35,1616.89,7.11,3.75,2419,272.94,Wheat
75,87,62,8.46,31.52,0.36,0.6,24.46,40.77,1343.64,6.8,1.75,75,153.41,Wheat
59,75,61,5.9,41.55,0.53,2.79,11.88,34.98,2841.3,9.6,10.83,62,225.97,Potato
117,48,63,8.36,30.36,0.2,0.28,20.38,48.95,973.6,7.26,5.29,1256,327.85,Maize
59,27,85,4.88,14.85,0.56,0.94,14.72,78.86,2531.98,7.05,11.23,1512,85.48,Millet
110,79,113,7.43,57.37,1,1.73,16.58,31.3,1642.02,7.73,14.63,1001,264.71,Wheat
52,68,113,4.96,30.8,0.98,2.59,15.87,39,1436.73,4.92,18.59,933,140.85,Maize
25,41,56,5.59,27.13,1.46,1.77,21.15,36.37,376.3,5.62,7.49,1181,79.52,Pulses
99,30,52,6.78,32.34,0.36,0.73,13.24,32.23,2603.78,8.83,9.03,1539,163.14,Wheat
111,49,29,6.87,20.83,1.33,2.59,25.83,78.62,957.85,8.87,4.11,2067,127.78,Potato
116,36,42,7.6,15.01,0.71,1.83,22.21,46.78,2102.2,8.72,14.71,1496,66.65,Rice
78,11,102,6.96,17.43,0.7,0.77,35.2,73.74,2648.54,5.6,16.64,2105,341.81,Rice
78,89,25,6.87,18.33,0.65,1.73,34.78,38.51,1701.18,7.48,14.38,1444,138.98,Rice
67,48,87,8.15,19.88,0.36,2.06,34.73,54.54,1993.87,11.37,9.41,349,181.12,Rice
32,65,16,6.31,31,0.82,2.07,24.09,36.99,1152.51,10.89,11.64,524,279.2,Potato
126,22,79,5.4,41.19,1.22,2.2,18.72,30.15,2234.31,8.46,5.18,1813,65,Sugarcane
64,65,30,5.15,41.44,1.34,2.7,22.46,66.79,2038.49,11.21,14.97,618,213.63,Rice
108,75,45,6.1,10,1.45,2.49,30.62,58.86,1445.4,9.4,13.57,330,287.38,Sugarcane
119,87,95,7.35,56.05,1.22,1.86,25.89,55,1976.89,7.3,18.57,292,303.55,Rice
26,65,113,4.67,51.14,1.01,0.19,28.73,34.72,935.45,10.21,11.79,1150,261.61,Cotton
152,37,63,5.02,58.2,0.85,2.27,30.81,65.29,2041.9,6.42,15.24,1149,167.57,Rice
64,73,28,4.92,28,1.34,2.93,37.55,76.8,2083.68,10.84,10.51,1165,218.54,Rice
77,80,34,6.84,43.24,1.16,0.99,38.32,34.03,1445.69,6.64,16.87,1001,104.25,Barley
50,73,76,5.47,18.4,0.41,1.86,35.21,54.81,898.25,10.36,12.27,1566,232.77,Wheat
42,65,109,5.17,50.85,1.09,2.33,11.95,48.69,2448.58,6.25,9.83,377,82.53,Sugarcane
157,50,118,6.87,18.07,0.76,1.95,39.38,83.51,2311.56,11.34,3.75,2332,311.02,Rice
126,50,62,7.55,26.3,0.97,2.78,31.11,45.76,359.86,5.48,16.27,1720,336.99,Millet
58,13,107,5.83,34.54,1.37,1.47,30.8,86.66,1583.95,9.75,16.37,2414,136.2,Rice
101,66,84,6.81,39.73,1.05,1.64,10.69,79.7,457.91,7.27,6.97,1978,112.49,Wheat
119,39,57,4.89,37.98,1.42,0.21,24.38,36.01,1094.78,4.15,9.42,1665,213.35,Sugarcane
21,55,51,8.24,15.1,1.33,2.71,28.79,58.84,1382.27,6.65,8.84,1560,331.72,Potato
96,65,56,5.85,31.08,0.37,0.86,18.36,68.94,695.28,5.62,7.42,1685,174.35,Cotton
31,40,100,8.49,56.15,0.22,2.94,12.5,65.58,1512.93,8.44,10.4,766,80.39,Wheat
58,16,51,8.41,53.62,0.7,0.69,25.97,70.75,2177.42,6.08,10.59,2432,330.78,Rice
32,86,11,7.62,39.54,1.32,0.84,23.39,55.58,1423.5,4.58,2.48,1254,113.58,Potato
65,63,15,4.58,38.62,0.5,1.51,11.32,84.28,855.59,11.62,5.93,227,236.06,Sugarcane
132,17,55,6.67,15.58,1.1,2.02,25.58,46.22,1361.49,10.76,2.06,2440,317.26,Sugarcane
36,64,75,4.85,20.01,0.82,1.38,13.23,35.65,1858.74,4.36,14.82,436,223.57,Potato
123,78,115,8.08,22.63,1.17,1.12,22.74,88.68,2821.9,6.17,14.65,1563,79.83,Rice
117,53,90,7.66,34.41,0.41,1.67,18.11,69.12,1598.45,9.04,6.5,1926,235.9,Wheat
107,22,49,8.39,46.57,0.51,2.88,39.11,69.55,2686.02,6.57,12.04,958,57.74,Rice
128,29,67,6.93,33.04,0.52,2.89,11.04,79.05,2956.76,6.25,9.16,2253,82.94,Wheat
89,87,87,6.59,16.3,0.91,1.05,26.8,55.29,1765.25,8.77,3.93,877,264.59,Rice
93,41,83,6.58,31.97,0.58,2.07,14.56,53.17,611.79,5.55,13.76,465,293.01,Wheat
82,69,118,6.05,18.13,1.26,2.19,19.58,86.95,2650.88,9.19,15.7,1384,230.19,Wheat
79,59,42,6.37,47.56,0.65,1.99,15.52,53.21,2614.6,4.71,7.36,1055,203.17,Wheat
98,36,115,7.04,18.33,1.06,0.43,39.85,34.71,2631.97,6.6,10.72,1942,54.04,Rice
56,34,71,8.23,34.13,1.43,1.66,10.97,48.47,2861.54,4.92,4.45,999,280.08,Wheat
41,61,21,6.88,44.67,0.99,2.31,26.24,82.41,974.02,6.37,2.14,735,282.97,Maize
115,77,105,7.93,21.41,0.51,0.68,28.24,35.7,1133.61,9.46,6,2358,275.87,Sugarcane
87,30,58,7.95,13.8,1.28,1.11,33.17,73,2123.87,10.11,16.57,241,220.25,Rice
36,27,97,6.58,38.16,0.22,0.69,28.78,45.98,1778.93,5.16,15.63,535,316.49,Rice
31,48,87,5.89,12.71,0.53,2.67,16.94,74.75,2631.43,9.97,5.48,56,293.23,Potato
157,24,14,7.06,39.39,0.7,2.59,27.94,60.87,912.62,4.67,2.19,68,109.56,Barley
137,62,60,6.28,47.67,0.45,0.59,39.25,68.19,2043.55,5.73,16.74,2146,84.83,Rice
41,47,78,4.83,26.47,0.99,2.31,35.45,44.59,2833.15,8,12.8,852,55.34,Rice
139,57,41,6.01,34.42,0.93,1.16,23.6,40.09,804.44,11.77,2.69,2259,114.08,Barley
69,61,118,8.48,56.44,0.73,2.09,24.32,33.8,1059.26,11.79,14.51,1117,270.97,Potato
33,81,58,4.69,33.56,0.58,1.53,13.99,79.53,1340.77,7.83,10.88,853,192.73,Barley
48,37,106,7.29,59.83,0.76,1.47,27.1,72.63,443.86,10.44,3.62,2105,258.78,Millet
144,25,69,7.86,17.85,0.58,2.66,18.41,47.6,695.24,8.43,1.41,2403,291.24,Wheat
26,25,55,7.09,45.45,0.49,1.95,13.24,80.21,1269.86,10.01,16.96,2258,158.97,Wheat
48,44,77,6.78,42.63,0.66,0.78,24.23,80.02,408.3,9.22,6.41,491,313.21,Pulses
158,26,103,7.33,53.62,0.98,0.42,11.35,38.27,1215.41,9.58,11.4,2308,284.84,Wheat
52,82,50,6.22,14.62,1.04,2.81,13.6,72.82,883.6,7.52,3.83,2283,229.33,Wheat
153,61,90,4.87,24.01,0.59,0.54,16.57,47.54,2620.63,10.66,13.89,2052,256.94,Sugarcane
130,21,76,8.35,16.61,1.43,2.23,39.72,58.03,1903.78,7.57,2.03,1323,137.42,Rice
98,57,22,6.23,56.65,0.54,1.54,34.25,55.81,2715.77,9.65,16.89,1156,274.63,Rice
77,31,117,7.16,31.33,1.13,0.51,26.25,66.01,768.08,10.96,11.77,1223,95.39,Millet
45,58,109,6.63,55.5,0.31,2.35,16.98,50.83,428.64,9.24,2.89,332,99.33,Wheat
48,61,27,4.72,24.72,1.06,2.72,25.57,34.4,1191.33,8.08,11.56,1170,239.71,Tomato
23,88,96,8.31,16.32,0.8,0.45,29.47,70.36,357.99,8.23,8.96,2049,117.45,Millet
118,10,108,7.67,24.83,0.94,0.29,10.14,87.63,2673.84,9.67,6.2,1793,177.68,Wheat
58,75,106,5.1,39.86,0.44,2.56,39.64,70.07,726.83,4.74,13.8,1901,216.49,Millet
34,73,60,8.43,52.26,0.76,1.55,28.8,62.38,595,9.09,16.39,1102,254.79,Millet
138,17,45,7.45,29.27,1.2,2.06,39.65,39.82,2405.79,7,3.22,1597,305.42,Rice
48,34,90,6.39,55.74,1.2,1.38,24.07,67.51,2194.74,5.08,6.21,1888,208.18,Rice
94,75,112,6.95,22.21,0.51,1.3,28.71,66.67,359.48,11.3,4.03,1409,209.52,Millet
135,82,43,4.93,44.68,0.66,0.97,23.84,67.13,1626.78,7.98,9.63,1585,275.71,Rice
51,82,21,6.74,46.79,0.2,1.73,10.28,83.54,1456.78,7.66,1.08,357,296.88,Wheat
149,86,14,4.79,23.7,0.32,0.56,35.5,72.98,1283.2,8.34,14.2,1135,85.27,Sugarcane
103,79,57,6.68,11.35,0.36,2.18,23.47,77,554.76,8.98,1.8,2301,85.37,Potato
41,88,113,6.71,28.26,0.58,1.69,24.13,48.8,2404.59,5.56,4.55,543,219.05,Rice
46,60,100,8,12.26,1.19,2.56,20.8,46.22,871.88,9,17.14,1796,189.68,Wheat
100,62,49,7.4,55.04,0.86,2.77,22.98,42.41,1483.06,6.82,16.54,1732,200.43,Sugarcane
145,24,22,5.5,57.68,1.23,2.71,31.77,76.7,2666.98,9.72,12.74,708,110.99,Rice
111,59,35,8.05,46.77,1.18,1.84,31.02,71.92,1091.08,10.17,14.59,1448,307.85,Sugarcane
40,80,23,6.79,46.33,0.96,1.02,34.25,50.53,300.05,4.06,11.56,1977,103.61,Millet
66,84,105,6.93,22.04,0.85,1.14,39.24,38.47,2689.57,9.73,8.45,585,132.83,Rice
120,47,20,5.18,13.7,1.41,1.99,21.73,80.8,1582.89,6.82,5.57,820,118.71,Rice
103,49,47,7.93,50.11,0.94,2.16,20.17,53.06,1591.78,6.43,18.26,495,303.66,Rice
25,75,89,8.22,37.96,0.83,0.57,24.81,41.38,1743.96,6.98,18.07,1058,103.75,Rice
150,48,66,7.6,44.08,1.33,2.99,14.63,38.66,703.82,8.61,18,599,302.15,Wheat
20,83,31,8.26,48.98,0.29,0.41,32.74,85.18,2201.68,4.92,18.33,1755,330.79,Rice
77,26,25,5.71,30.47,1.05,1.86,27.43,37.81,847.87,9.59,15.52,1427,204.52,Pulses
143,16,86,7.94,17.23,0.35,1.64,16.34,51.58,1043.21,7.56,18.04,1220,136.98,Wheat
34,48,85,6.46,49.75,1.27,1.81,35.92,67.93,1967.33,5.28,17.55,1671,80.09,Rice
83,77,91,5.16,32.69,1.23,1.65,28.57,54.48,2299.32,8.08,6.06,1757,66.01,Rice
44,44,38,7.18,51.35,0.85,0.27,11.02,58.65,2245.73,8.59,17.05,2276,231.52,Wheat
43,60,91,7.24,31.88,1.06,2.99,15.9,78.16,432.82,6.77,11.66,2417,67.07,Wheat
31,56,119,5.65,20.85,1.2,2.95,36.73,89.95,2312.82,11.2,10.88,1568,345.65,Rice
37,45,11,4.61,18.55,0.83,1.62,21.43,58.03,2055.63,9.58,3.34,925,117.93,Rice
34,73,63,5.3,47.2,1.38,0.7,39.53,52.73,1894.27,9.29,17.18,406,335.8,Rice
46,22,11,6.1,38.74,0.77,0.63,25.89,54.41,2907.25,4.43,7.03,858,298.48,Rice
91,27,12,5.17,30.23,1.36,0.27,16.24,52.15,1171.11,8.01,5,1634,131.08,Wheat
79,30,102,5.28,34.61,0.96,1.87,27.82,58.43,2112.64,10.81,16.74,1335,176.12,Rice
112,74,65,6.07,37.48,0.75,1.49,13.07,49.99,1805.05,9.35,1.5,2474,346.7,Wheat
72,17,81,8.35,21.97,0.21,1.31,34.23,57.76,1286.29,5.86,4.78,760,123.37,Pulses
27,57,20,7.56,28.91,0.58,1.62,28.84,86.73,2407.07,10.89,10.34,1477,194.84,Rice
98,52,85,5.78,24.62,1.33,2.63,38.92,47.17,1328.81,6.96,17.89,1756,243.7,Cotton
46,62,41,8.31,29.42,0.76,0.31,30.7,69.11,1763.96,11.32,9.23,1899,262.83,Rice
69,36,13,7.08,35.03,0.75,1.68,11.47,59.22,1769.76,8.1,4.28,1340,185.86,Wheat
150,28,18,6.32,18.67,0.84,2.13,24.29,73.94,1631.72,10.29,10.3,1941,119.71,Rice
112,32,97,6.37,29.68,0.57,2.91,25.94,58.34,1480.73,8.9,12.95,1128,284.65,Sugarcane
43,59,65,6.14,29.27,0.84,2.25,37.5,39.63,669.78,6.33,17.59,1207,166.25,Millet
79,60,25,5.43,24.3,0.69,1.69,22.97,82.35,874.37,9.23,16.33,1650,325.45,Wheat
141,52,90,6.05,59.92,1.38,2.32,27.81,70.55,545.81,4.08,15.78,1365,163.32,Millet
150,60,95,6.61,13.68,0.93,2.99,15.58,61.55,2225.78,10.68,10.35,1583,168.08,Wheat
65,78,80,6.61,42.15,1.28,2.68,17.34,79.87,2284.03,11.73,18.26,2452,276.17,Wheat
34,50,19,7.55,18.72,1.09,0.36,26.46,88.57,1987.88,5.66,17.69,1556,146.35,Rice
36,81,102,5.94,51.98,0.48,1.77,30.91,54.56,2769.4,11.07,15.46,572,255.2,Rice
145,20,45,7.37,55.71,1.33,2.38,23.06,51.18,941.9,5.34,16.08,2423,281.69,Barley
103,89,33,6.81,30.07,0.31,2.05,22.98,75.22,2498.87,7.93,18.21,773,157.56,Rice
28,61,73,8.35,51.17,0.78,1.31,17.68,57.28,720.33,6.34,7.52,2072,83.33,Wheat
82,32,65,6.04,22.5,0.51,1.04,30.94,35.15,389.9,5.53,19.13,118,262.98,Millet
136,58,119,8.1,17,0.9,1.92,10.16,51.26,200.36,10.05,3.5,2108,266.09,Wheat
149,47,87,7.78,25.79,0.59,1.3,25.38,78.52,1825.77,10.45,17.69,1954,287.63,Rice
107,56,87,7.05,27.08,1.14,1.24,10.11,72.4,2380.47,10.71,5.32,1341,126.91,Wheat
91,81,98,7.12,29.87,1.42,2.53,27.8,81.77,2504.36,4.07,11.57,1786,124.66,Rice
158,16,119,4.84,28.65,1.12,1.02,10.93,38.8,1517.83,10.78,11.92,2376,175.51,Sugarcane
83,75,31,8.3,30.56,0.66,1.97,38.2,44.64,364.42,4.41,18.79,1637,302.36,Millet
91,86,61,4.93,45.5,0.98,2.63,24.34,42.88,300.13,7.59,6.18,1712,170.52,Maize
40,71,59,6.75,22.28,1.36,1.9,30.52,88.28,2768.58,5.4,9.01,903,248.02,Rice
37,38,56,5.82,10.93,0.55,1.53,35.61,40.14,460.23,11.25,3.74,1382,155.25,Millet
83,47,32,6.22,34.48,0.35,0.2,17.06,65.88,2397.06,8.61,11.35,1318,221.27,Wheat
101,42,105,6.94,32.41,0.37,2.08,26.2,67.97,394.79,7.75,8.43,1261,53.5,Millet
129,38,99,8.14,13,0.84,2.99,35.9,67.13,713.38,7.55,9.45,161,191.03,Millet
114,88,100,6.33,16.69,1.15,2.44,26.13,71.5,656.03,7.24,2.33,187,94.52,Millet
51,32,118,8.45,35.5,1.05,1.94,21.78,59.04,975.9,7.79,16.84,1965,213.57,Wheat
30,12,85,6.87,21.74,0.79,1.46,21.07,35.02,1335.76,8.53,7.71,1857,268.16,Potato
64,54,92,5.14,53.88,1.15,0.75,21.52,72.07,549.23,10.54,13.09,438,129.49,Tomato
52,17,28,5.26,18.66,1.02,2.11,28.46,46.87,2924.84,5.9,13.02,1235,222.51,Rice
121,38,61,7.36,11.01,1.02,0.61,11.37,34.55,205.61,10.43,13.09,2334,119.08,Wheat
155,11,43,4.7,32.38,0.46,2.67,22.46,40.19,2361.93,10.64,5.45,1644,258.83,Rice
30,59,105,6.42,59.31,0.61,1.13,26.82,47.23,1674.22,10.81,2.99,427,266.65,Rice
107,74,38,5.09,41.69,0.65,1.26,33.59,55.95,439.61,11.53,2.34,1300,124.68,Millet
60,29,70,6.23,27.7,1.25,0.73,25.9,81.68,536.09,11.65,11.81,488,142.71,Millet
95,61,94,7.5,10.84,1.21,1.5,37.79,62.19,1852,4.86,2.8,2243,134.43,Rice
140,46,44,6.34,34.25,0.53,2.07,23.31,58.32,1082.71,11.02,8.56,2347,128.37,Sugarcane
65,81,115,5.15,20.32,0.27,0.98,29.52,41.48,1460.53,10.76,17.65,2088,74.05,Tomato
99,36,14,5.51,42.39,1.2,2.14,10.53,87.56,1737.73,7.02,2.47,2440,346.14,Wheat
73,56,85,5.97,39.15,0.73,1.9,17.15,84.51,1805.37,9.53,13.36,1878,330.23,Wheat
105,15,16,4.78,23.26,0.49,1.18,34.46,78.96,1831.31,11.41,9.14,2123,238.06,Rice
111,69,50,6.84,13.44,0.35,1.01,27.59,49.39,396.14,4.73,17.34,1789,273.92,Millet
116,54,11,6.93,47.75,0.22,2.6,38.39,63.7,2273.34,6.84,15.12,1153,88.61,Rice
21,53,98,4.75,39.27,0.76,0.13,32.59,53.33,1021.81,11.79,3.25,1116,269.07,Potato
52,27,19,6.11,52.11,0.64,2.18,23.49,54.17,520.41,8.39,6.56,146,276.6,Tomato
96,74,111,6.16,22.99,1.11,1.31,33.36,34.33,486.16,4.73,13.1,909,79.05,Millet
135,34,53,5.84,42.64,1.47,2.18,24.03,38.4,863.64,11.69,4.26,1599,289.66,Sugarcane
122,36,79,6.73,15.93,0.47,1.57,19.91,87.67,1960.3,11.22,16.23,2101,80.67,Wheat
122,16,100,5.88,24.59,0.52,0.34,11.41,66.61,1521.38,10.45,5.62,516,291.07,Sugarcane
109,53,44,6.17,42.83,0.64,2.95,35.97,30.38,499.81,10.35,16.78,27,250.26,Millet
141,38,71,7.69,51.28,0.81,0.35,22.57,78.55,290.59,7.89,6.08,2226,104.58,Potato
125,53,83,5.15,26.05,1.11,0.56,30.56,35.22,269.06,11,5.13,1875,273.8,Millet
138,45,82,6.98,49.94,0.66,1.32,14.59,72.49,1379.06,6.45,18.89,119,174.58,Wheat
68,28,29,6.52,43.89,0.34,2.84,34.87,67.25,2406.79,6.87,13.09,521,321.16,Rice
123,15,110,5.72,27.43,1.15,0.95,34.73,33.78,1806.16,5.73,11.26,650,151.99,Rice
80,34,44,7.41,53.82,1.23,1.75,24.46,61.86,2467.1,7.23,1.92,1355,138.72,Rice
142,40,46,6.7,35.46,0.52,1.61,30.16,32.85,1094.29,5.87,6.35,710,179.85,Sugarcane
153,18,113,6.41,42.41,0.38,1.06,25.64,33.86,592.95,6.72,3.35,2311,111.4,Millet
28,83,81,7.17,34.78,0.89,2.12,26.57,33.07,2448.4,9.52,4.03,1381,103.07,Rice
25,46,119,7.71,32.64,0.47,1.55,36.66,45.33,2237.96,7.44,5.99,561,180.25,Rice
92,36,63,8.39,52.4,0.69,1.78,39.01,78.11,1849.5,10.14,3.58,685,229.72,Rice
122,22,104,7.02,24.74,1.21,0.71,21.02,51.75,2685.73,7.83,18.09,449,201.39,Rice
60,50,116,8,11.83,0.49,2.79,19.95,68.37,1965.9,5.11,2.61,641,276.26,Wheat
